,over_draft,credit_usage,credit_history,purpose,current_balance,Average_Credit_Balance,employment,gender,other_parties,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
30,no,18,all paid,business,1913,above_1000,unemployed,male,none,real estate,36,bank,own,1,skilled,1,yes,yes,good
31,no,24,all paid,furniture/equipment,4020,below_100,employed,male,none,car,27,stores,own,1,skilled,1,none,yes,good
32,no,18,all paid,new car,5866,below_500,employed,male,none,car,30,none,own,2,skilled,1,yes,yes,good
33,unchecked,12,critical,business,1264,no_savings,employed,male,none,no known property,57,none,rent,1,unskilled,1,none,yes,good
34,yes,12,all paid,furniture/equipment,1474,below_100,unemployed,female,none,life insurance,33,bank,own,1,self_employed,1,yes,yes,good
35,no,45,critical,radio/tv,4746,below_100,unemployed,male,none,life insurance,25,none,own,2,unskilled,1,none,yes,bad
36,unchecked,48,critical,education,6110,below_100,employed,male,none,no known property,31,bank,for free,1,skilled,1,yes,yes,good
37,yes,18,all paid,radio/tv,2100,below_100,employed,male,co applicant,real estate,37,stores,own,1,skilled,1,none,yes,bad
38,yes,10,all paid,domestic appliance,1225,below_100,employed,male,none,car,37,none,own,1,skilled,1,yes,yes,good
39,no,9,all paid,radio/tv,458,below_100,employed,male,none,real estate,24,none,own,1,skilled,1,none,yes,good
40,unchecked,30,all paid,radio/tv,2333,below_1000,employed,male,none,car,30,bank,own,1,self_employed,1,none,yes,good
41,no,12,all paid,radio/tv,1158,below_1000,employed,male,none,car,26,none,own,1,skilled,1,yes,yes,good
42,no,18,delayed,repairs,6204,below_100,employed,male,none,real estate,44,none,own,1,unskilled,2,yes,yes,good
43,no,30,critical,used car,6187,below_500,employed,male,none,car,24,none,rent,2,skilled,1,none,yes,good
44,no,48,critical,used car,6143,below_100,employed,female,none,no known property,58,stores,for free,2,unskilled,1,none,yes,bad
45,unchecked,11,critical,new car,1393,below_100,unemployed,female,none,car,35,none,own,2,self_employed,1,none,yes,good
46,unchecked,36,all paid,radio/tv,2299,below_1000,employed,male,none,car,39,none,own,1,skilled,1,none,yes,good
47,no,6,all paid,used car,1352,below_1000,unemployed,female,none,life insurance,23,none,rent,1,unemeployed,1,yes,yes,good
48,unchecked,11,critical,new car,7228,below_100,employed,male,none,life insurance,39,none,own,2,unskilled,1,none,yes,good
49,unchecked,12,all paid,radio/tv,2073,below_500,employed,female,co applicant,real estate,28,none,own,1,skilled,1,none,yes,good
50,no,24,delayed,furniture/equipment,2333,no_savings,unemployed,male,none,life insurance,29,bank,own,1,unskilled,1,none,yes,good
51,no,27,delayed,used car,5965,below_100,employed,male,none,car,30,none,own,2,self_employed,1,yes,yes,good
52,unchecked,12,all paid,radio/tv,1262,below_100,employed,male,none,car,25,none,own,1,skilled,1,none,yes,good
53,unchecked,18,all paid,used car,3378,no_savings,employed,male,none,life insurance,31,none,own,1,skilled,1,yes,yes,good
54,no,36,delayed,new car,2225,below_100,employed,male,none,no known property,57,bank,for free,2,skilled,1,yes,yes,bad
55,unchecked,6,all paid,new car,783,no_savings,employed,male,guarantor,real estate,26,stores,own,1,unskilled,2,none,yes,good
56,no,12,all paid,radio/tv,6468,no_savings,unemployed,male,none,no known property,52,none,own,1,self_employed,1,yes,yes,bad
57,unchecked,36,critical,radio/tv,9566,below_100,employed,female,none,car,31,stores,own,2,skilled,1,none,yes,good
58,yes,18,all paid,new car,1961,below_100,employed,female,none,car,23,none,own,1,self_employed,1,none,yes,good
59,no,36,critical,furniture/equipment,6229,below_100,unemployed,female,co applicant,no known property,23,none,rent,2,unskilled,1,yes,yes,bad
60,no,9,all paid,business,1391,below_100,employed,male,none,real estate,27,bank,own,1,skilled,1,yes,yes,good
61,no,15,critical,radio/tv,1537,no_savings,employed,male,guarantor,real estate,50,none,own,2,skilled,1,yes,yes,good
62,no,36,all paid,business,1953,below_100,employed,male,none,no known property,61,none,for free,1,self_employed,1,yes,yes,bad
63,no,48,all paid,business,14421,below_100,employed,male,none,car,25,none,own,1,skilled,1,yes,yes,bad
64,unchecked,24,all paid,radio/tv,3181,below_100,unemployed,female,none,life insurance,26,none,own,1,skilled,1,yes,yes,good
65,unchecked,27,all paid,repairs,5190,no_savings,employed,male,none,life insurance,48,none,own,4,skilled,2,yes,yes,good
66,unchecked,12,all paid,radio/tv,2171,below_100,unemployed,female,none,car,29,bank,own,1,skilled,1,none,yes,good
67,no,12,all paid,new car,1007,above_1000,employed,male,none,real estate,22,none,own,1,skilled,1,none,yes,good
68,unchecked,36,all paid,education,1819,below_100,employed,male,none,no known property,37,stores,for free,1,skilled,1,yes,yes,bad
69,unchecked,36,all paid,radio/tv,2394,no_savings,employed,female,none,car,25,none,own,1,skilled,1,none,yes,good
70,unchecked,36,all paid,used car,8133,below_100,employed,female,none,life insurance,30,bank,own,1,skilled,1,none,yes,good
71,unchecked,7,critical,radio/tv,730,no_savings,employed,male,none,life insurance,46,none,rent,2,unskilled,1,yes,yes,good
72,no,8,critical,other,1164,below_100,employed,male,none,no known property,51,bank,for free,2,self_employed,2,yes,yes,good
73,no,42,critical,business,5954,below_100,employed,female,none,real estate,41,bank,own,2,unskilled,1,none,yes,good
74,no,36,all paid,education,1977,no_savings,employed,male,none,no known property,40,none,own,1,self_employed,1,yes,yes,bad
75,no,12,critical,used car,1526,below_100,employed,male,none,no known property,66,none,for free,2,self_employed,1,none,yes,good
76,no,42,all paid,radio/tv,3965,below_100,unemployed,male,none,car,34,none,own,1,skilled,1,none,yes,bad
77,no,11,delayed,radio/tv,4771,below_100,employed,male,none,life insurance,51,none,own,1,skilled,1,none,yes,good
78,unchecked,54,all paid,used car,9436,no_savings,employed,male,none,life insurance,39,none,own,1,unskilled,2,none,yes,good
79,no,30,all paid,furniture/equipment,3832,below_100,unemployed,male,none,life insurance,22,none,own,1,skilled,1,none,yes,good
80,unchecked,24,all paid,radio/tv,5943,no_savings,unemployed,female,none,car,44,none,own,2,skilled,1,yes,yes,bad
81,unchecked,15,all paid,radio/tv,1213,below_1000,employed,male,none,life insurance,47,stores,own,1,skilled,1,yes,yes,good
82,unchecked,18,all paid,business,1568,below_500,employed,female,none,life insurance,24,none,rent,1,unskilled,1,none,yes,good
83,no,24,all paid,other,1755,below_100,employed,female,guarantor,real estate,58,none,own,1,unskilled,1,yes,yes,good
84,no,10,all paid,radio/tv,2315,below_100,employed,male,none,real estate,52,none,own,1,unskilled,1,none,yes,good
85,unchecked,12,critical,business,1412,below_100,employed,female,guarantor,real estate,29,none,own,2,self_employed,1,yes,yes,good
86,no,18,critical,furniture/equipment,1295,below_100,unemployed,female,none,life insurance,27,none,own,2,skilled,1,none,yes,good
87,no,36,all paid,education,12612,below_500,employed,male,none,no known property,47,none,for free,1,skilled,2,yes,yes,bad
88,no,18,all paid,new car,2249,below_500,employed,male,none,car,30,none,own,1,self_employed,2,yes,yes,good
89,no,12,all paid,repairs,1108,below_100,employed,male,none,real estate,28,none,own,2,skilled,1,none,yes,bad
90,unchecked,12,critical,radio/tv,618,below_100,employed,male,none,real estate,56,none,own,1,skilled,1,none,yes,good
91,no,12,critical,used car,1409,below_100,employed,male,none,real estate,54,none,own,1,skilled,1,none,yes,good
92,unchecked,12,critical,radio/tv,797,no_savings,employed,female,none,life insurance,33,bank,own,1,unskilled,2,none,yes,bad
93,yes,24,critical,furniture/equipment,3617,no_savings,employed,male,co applicant,no known property,20,none,rent,2,skilled,1,none,yes,good
94,no,12,all paid,new car,1318,above_1000,employed,male,none,real estate,54,none,own,1,skilled,1,yes,yes,good
95,no,54,all paid,business,15945,below_100,unemployed,male,none,no known property,58,none,rent,1,skilled,1,yes,yes,bad
96,unchecked,12,critical,education,2012,no_savings,employed,female,none,car,61,none,own,1,skilled,1,none,yes,good
97,no,18,all paid,business,2622,below_500,employed,male,none,car,34,none,own,1,skilled,1,none,yes,good
98,no,36,critical,radio/tv,2337,below_100,employed,male,none,real estate,36,none,own,1,skilled,1,none,yes,good
99,no,20,delayed,used car,7057,no_savings,employed,male,none,life insurance,36,bank,rent,2,self_employed,2,yes,yes,good
100,unchecked,24,all paid,new car,1469,below_500,employed,male,none,real estate,41,none,rent,1,unskilled,1,none,yes,good
101,no,36,all paid,radio/tv,2323,below_100,employed,male,none,car,24,none,rent,1,skilled,1,none,yes,good
102,unchecked,6,delayed,radio/tv,932,below_100,employed,female,none,real estate,24,none,own,1,skilled,1,none,yes,good
103,no,9,critical,furniture/equipment,1919,below_100,employed,male,none,car,35,none,rent,1,skilled,1,yes,yes,good
104,unchecked,12,all paid,used car,2445,no_savings,unemployed,male,none,car,26,none,rent,1,skilled,1,yes,yes,good
105,no,24,critical,other,11938,below_100,employed,male,co applicant,car,39,none,own,2,self_employed,2,yes,yes,bad
106,unchecked,18,all paid,new car,6458,below_100,employed,male,none,no known property,39,bank,own,2,self_employed,2,yes,yes,bad
107,no,12,all paid,new car,6078,below_100,employed,male,none,car,32,none,own,1,skilled,1,none,yes,good
108,no,24,all paid,furniture/equipment,7721,no_savings,unemployed,female,none,life insurance,30,none,own,1,skilled,1,yes,no,good
109,no,14,all paid,business,1410,below_1000,employed,male,none,real estate,35,none,own,1,skilled,1,yes,yes,good
110,no,6,delayed,business,1449,below_500,employed,male,none,car,31,bank,own,2,skilled,2,none,yes,good
111,yes,15,all paid,education,392,below_100,unemployed,female,none,life insurance,23,none,rent,1,skilled,1,yes,yes,good
112,no,18,all paid,new car,6260,below_100,employed,male,none,real estate,28,none,rent,1,unskilled,1,none,yes,good
113,unchecked,36,critical,new car,7855,below_100,employed,female,none,real estate,25,stores,own,2,skilled,1,yes,yes,bad
114,no,12,all paid,radio/tv,1680,below_1000,employed,male,none,real estate,35,none,own,1,skilled,1,none,yes,good
115,unchecked,48,critical,radio/tv,3578,no_savings,employed,male,none,real estate,47,none,own,1,skilled,1,yes,yes,good
116,no,42,all paid,radio/tv,7174,no_savings,employed,female,none,car,30,none,own,1,self_employed,1,yes,yes,bad
117,no,10,critical,furniture/equipment,2132,no_savings,unemployed,female,co applicant,real estate,27,none,rent,2,skilled,1,none,no,good
118,no,33,critical,furniture/equipment,4281,below_1000,employed,female,none,car,23,none,own,2,skilled,1,none,yes,bad
119,no,12,critical,new car,2366,below_1000,employed,male,none,car,36,none,own,1,self_employed,1,yes,yes,good
120,no,21,all paid,radio/tv,1835,below_100,employed,female,none,real estate,25,none,own,2,skilled,1,yes,yes,bad
121,unchecked,24,critical,used car,3868,below_100,employed,female,none,car,41,none,rent,2,self_employed,1,yes,yes,good
122,unchecked,12,all paid,furniture/equipment,1768,below_100,employed,male,none,real estate,24,none,rent,1,unskilled,1,none,yes,good
123,yes,10,critical,new car,781,below_100,employed,male,none,no known property,63,none,for free,2,skilled,1,yes,yes,good
124,no,18,all paid,furniture/equipment,1924,no_savings,unemployed,female,none,real estate,27,none,rent,1,skilled,1,none,yes,bad
125,no,12,critical,new car,2121,below_100,employed,male,none,life insurance,30,none,own,2,skilled,1,none,yes,good
126,no,12,all paid,radio/tv,701,below_100,employed,male,none,real estate,40,none,own,1,unskilled,1,none,yes,good
127,no,12,all paid,repairs,639,below_100,employed,male,none,car,30,none,own,1,skilled,1,none,yes,bad
128,no,12,critical,used car,1860,below_100,unemployed,male,none,car,34,none,own,2,self_employed,1,yes,yes,good
129,no,12,critical,new car,3499,below_100,employed,female,co applicant,real estate,29,none,own,2,skilled,1,none,yes,bad
130,no,48,all paid,new car,8487,no_savings,employed,female,none,car,24,none,own,1,skilled,1,none,yes,good
131,no,36,delayed,education,6887,below_100,employed,male,none,life insurance,29,stores,own,1,skilled,1,yes,yes,bad
132,unchecked,15,all paid,furniture/equipment,2708,below_100,unemployed,male,none,life insurance,27,bank,own,2,unskilled,1,none,yes,good
133,unchecked,18,all paid,furniture/equipment,1984,below_100,employed,male,none,no known property,47,bank,for free,2,skilled,1,none,yes,good
134,unchecked,60,all paid,radio/tv,10144,below_500,employed,female,none,real estate,21,none,own,1,skilled,1,yes,yes,good
135,unchecked,12,critical,radio/tv,1240,no_savings,employed,female,none,real estate,38,none,own,2,skilled,1,yes,yes,good
136,unchecked,27,delayed,used car,8613,above_1000,employed,male,none,car,27,none,own,2,skilled,1,none,yes,good
137,no,12,all paid,radio/tv,766,below_1000,employed,male,none,real estate,66,none,own,1,unskilled,1,none,yes,bad
138,no,15,critical,radio/tv,2728,no_savings,employed,male,guarantor,real estate,35,bank,own,3,skilled,1,yes,yes,good
139,yes,12,all paid,radio/tv,1881,below_100,employed,female,none,car,44,none,rent,1,unskilled,1,yes,yes,good
140,yes,6,all paid,new car,709,above_1000,unemployed,male,none,real estate,27,none,own,1,unemeployed,1,none,no,good
141,no,36,all paid,radio/tv,4795,below_100,unemployed,female,none,no known property,30,none,own,1,self_employed,1,yes,yes,good
142,no,27,all paid,radio/tv,3416,below_100,employed,male,none,car,27,none,own,1,self_employed,1,none,yes,good
143,no,18,all paid,furniture/equipment,2462,below_100,employed,male,none,car,22,none,own,1,skilled,1,none,yes,bad
144,unchecked,21,critical,furniture/equipment,2288,below_100,unemployed,female,none,life insurance,23,none,own,1,skilled,1,yes,yes,good
145,no,48,all paid,business,3566,below_500,employed,male,none,car,30,none,own,1,skilled,1,none,yes,good
146,no,6,critical,new car,860,below_100,employed,female,none,no known property,39,none,own,2,skilled,1,yes,yes,good
147,unchecked,12,critical,new car,682,below_500,employed,female,none,car,51,none,own,2,skilled,1,yes,yes,good
148,no,36,critical,furniture/equipment,5371,below_100,employed,male,guarantor,life insurance,28,none,own,2,skilled,1,none,yes,good
149,unchecked,18,critical,radio/tv,1582,above_1000,employed,male,none,car,46,none,own,2,skilled,1,none,yes,good
150,unchecked,6,all paid,radio/tv,1346,below_500,employed,male,none,no known property,42,bank,for free,1,skilled,2,yes,yes,good
151,unchecked,10,all paid,radio/tv,1924,below_100,employed,male,none,life insurance,38,none,own,1,skilled,1,yes,no,good
152,yes,36,all paid,radio/tv,5848,below_100,employed,male,none,car,24,none,own,1,skilled,1,none,yes,good
153,no,24,critical,used car,7758,above_1000,employed,female,none,no known property,29,none,rent,1,skilled,1,none,yes,good
154,no,24,delayed,business,6967,below_500,employed,male,none,car,36,none,rent,1,self_employed,1,yes,yes,good
155,no,12,all paid,furniture/equipment,1282,below_100,employed,female,none,car,20,none,rent,1,skilled,1,none,yes,bad
156,no,9,critical,repairs,1288,below_500,employed,male,guarantor,real estate,48,none,own,2,skilled,2,none,no,good
157,no,12,all paid,retraining,339,below_100,employed,male,none,car,45,bank,own,1,unskilled,1,none,yes,good
158,no,24,all paid,new car,3512,below_500,employed,male,none,car,38,bank,own,2,skilled,1,yes,yes,good
159,unchecked,6,critical,radio/tv,1898,no_savings,employed,male,none,real estate,34,none,own,2,unskilled,2,none,yes,good
160,unchecked,24,critical,radio/tv,2872,below_500,employed,male,none,real estate,36,none,own,1,skilled,2,yes,yes,good
161,unchecked,18,critical,new car,1055,below_100,unemployed,female,none,life insurance,30,none,own,2,skilled,1,none,yes,good
162,unchecked,15,all paid,domestic appliance,1262,below_1000,employed,male,none,life insurance,36,none,own,2,skilled,1,yes,yes,good
163,no,10,all paid,new car,7308,below_100,unemployed,male,none,no known property,70,bank,for free,1,self_employed,1,yes,yes,good
164,unchecked,36,all paid,new car,909,below_1000,employed,male,none,life insurance,36,none,own,1,skilled,1,none,yes,good
165,unchecked,6,all paid,furniture/equipment,2978,below_1000,employed,male,none,car,32,none,own,1,skilled,1,yes,yes,good
166,no,18,all paid,furniture/equipment,1131,below_100,unemployed,female,none,car,33,none,own,1,skilled,1,none,yes,bad
167,no,11,all paid,furniture/equipment,1577,above_1000,unemployed,female,none,real estate,20,none,own,1,skilled,1,none,yes,good
168,unchecked,24,all paid,furniture/equipment,3972,below_100,employed,female,none,life insurance,25,none,rent,1,skilled,1,yes,yes,good
169,no,24,critical,business,1935,below_100,employed,male,none,real estate,31,none,own,2,skilled,1,yes,yes,bad
170,no,15,all paid,new car,950,below_100,employed,male,none,car,33,none,rent,2,skilled,2,none,yes,bad
171,unchecked,12,all paid,furniture/equipment,763,below_100,employed,female,none,real estate,26,none,own,1,skilled,1,yes,yes,good
172,no,24,delayed,furniture/equipment,2064,below_100,unemployed,female,none,life insurance,34,none,own,1,self_employed,1,yes,yes,bad
173,no,8,all paid,radio/tv,1414,below_100,employed,male,guarantor,real estate,33,none,own,1,skilled,1,none,no,good
174,no,21,delayed,education,3414,below_100,unemployed,male,none,life insurance,26,none,own,2,skilled,1,none,yes,bad
175,unchecked,30,all paid,used car,7485,no_savings,unemployed,female,none,real estate,53,bank,own,1,self_employed,1,yes,yes,bad
176,no,12,all paid,furniture/equipment,2577,below_100,employed,male,none,car,42,none,own,1,skilled,1,none,yes,good
177,no,6,critical,radio/tv,338,below_1000,employed,male,none,car,52,none,own,2,skilled,1,none,yes,good
178,unchecked,12,all paid,radio/tv,1963,below_100,employed,male,none,car,31,none,rent,2,self_employed,2,yes,yes,good
179,no,21,critical,new car,571,below_100,employed,male,none,real estate,65,none,own,2,skilled,1,none,yes,good
180,unchecked,36,delayed,business,9572,below_100,unemployed,male,none,car,28,none,own,2,skilled,1,none,yes,bad
181,no,36,delayed,business,4455,below_100,employed,male,none,real estate,30,stores,own,2,self_employed,1,yes,yes,bad
182,no,21,all paid,new car,1647,no_savings,employed,male,none,life insurance,40,none,own,2,unskilled,2,none,yes,bad
183,unchecked,24,critical,furniture/equipment,3777,above_1000,employed,male,none,real estate,50,none,own,1,skilled,1,yes,yes,good
184,no,18,critical,new car,884,below_100,employed,male,none,car,36,bank,own,1,skilled,2,yes,yes,bad
185,unchecked,15,critical,radio/tv,1360,below_100,employed,male,none,life insurance,31,none,own,2,skilled,1,none,yes,good
186,no,9,all paid,used car,5129,below_100,employed,female,none,no known property,74,bank,for free,1,self_employed,2,yes,yes,bad
187,no,16,critical,new car,1175,below_100,unemployed,male,none,car,68,none,for free,3,unemeployed,1,yes,yes,good
188,no,12,all paid,radio/tv,674,below_500,employed,male,none,life insurance,20,none,own,1,skilled,1,none,yes,bad
189,no,18,all paid,furniture/equipment,3244,below_100,employed,female,none,car,33,bank,own,2,skilled,1,yes,yes,good
190,unchecked,24,all paid,business,4591,above_1000,employed,male,none,life insurance,54,none,own,3,self_employed,1,yes,yes,bad
191,no,48,all paid,business,3844,below_500,employed,male,none,no known property,34,none,for free,1,unskilled,2,none,yes,bad
192,no,27,all paid,business,3915,below_100,employed,male,none,car,36,none,own,1,skilled,2,yes,yes,bad
193,unchecked,6,all paid,radio/tv,2108,below_100,employed,male,none,real estate,29,none,rent,1,skilled,1,none,yes,good
194,no,45,all paid,radio/tv,3031,below_500,employed,male,guarantor,life insurance,21,none,rent,1,skilled,1,none,yes,bad
195,no,9,critical,education,1501,below_100,employed,female,none,car,34,none,own,2,self_employed,1,yes,yes,bad
196,unchecked,6,critical,radio/tv,1382,below_100,employed,female,none,car,28,none,own,2,skilled,1,yes,yes,good
197,no,12,all paid,furniture/equipment,951,below_500,unemployed,female,none,car,27,bank,rent,4,skilled,1,none,yes,bad
198,no,24,all paid,used car,2760,no_savings,employed,male,none,no known property,36,bank,for free,1,skilled,1,yes,yes,good
199,no,18,delayed,furniture/equipment,4297,below_100,employed,male,none,no known property,40,none,own,1,self_employed,1,yes,yes,bad
200,unchecked,9,critical,education,936,below_1000,employed,male,none,car,52,none,own,2,skilled,1,yes,yes,good
201,no,12,all paid,new car,1168,below_100,employed,male,none,real estate,27,none,own,1,unskilled,1,none,yes,good
202,unchecked,27,delayed,business,5117,below_100,employed,male,none,car,26,none,own,2,skilled,1,none,yes,good
203,no,12,all paid,retraining,902,below_100,employed,male,none,life insurance,21,none,rent,1,skilled,1,none,yes,bad
204,unchecked,12,critical,new car,1495,below_100,employed,male,none,real estate,38,none,own,2,unskilled,2,none,yes,good
205,no,30,critical,used car,10623,below_100,employed,male,none,no known property,38,none,for free,3,self_employed,2,yes,yes,good
206,unchecked,12,critical,furniture/equipment,1935,below_100,employed,male,none,real estate,43,none,own,3,skilled,1,yes,yes,good
207,no,12,critical,domestic appliance,1424,below_100,employed,male,none,life insurance,26,none,own,1,skilled,1,none,yes,good
208,no,24,all paid,business,6568,below_100,employed,male,none,car,21,stores,own,1,unskilled,1,none,yes,good
209,unchecked,12,all paid,used car,1413,above_1000,employed,male,none,life insurance,55,none,own,1,skilled,1,none,no,good
210,unchecked,9,critical,radio/tv,3074,no_savings,employed,male,none,real estate,33,none,own,2,skilled,2,none,yes,good
211,unchecked,36,all paid,radio/tv,3835,no_savings,employed,female,none,real estate,45,none,own,1,unskilled,1,yes,yes,good
212,no,27,all paid,business,5293,below_100,unemployed,male,none,life insurance,50,stores,own,2,skilled,1,yes,yes,bad
213,yes,30,delayed,business,1908,below_100,employed,male,none,real estate,66,none,own,1,self_employed,1,yes,yes,bad
214,unchecked,36,critical,radio/tv,3342,no_savings,employed,male,none,car,51,none,own,1,skilled,1,yes,yes,good
215,no,6,critical,retraining,932,no_savings,employed,female,none,life insurance,39,none,own,2,unskilled,1,none,yes,good
216,no,18,all paid,business,3104,below_100,employed,male,none,life insurance,31,bank,own,1,skilled,1,yes,yes,good
217,yes,36,all paid,radio/tv,3913,below_100,employed,male,none,real estate,23,none,own,1,skilled,1,yes,yes,good
218,no,24,all paid,furniture/equipment,3021,below_100,employed,male,none,real estate,24,none,rent,1,unskilled,1,none,yes,good
219,unchecked,10,all paid,new car,1364,below_100,employed,female,none,car,64,none,own,1,skilled,1,yes,yes,good
220,no,12,all paid,radio/tv,625,below_100,unemployed,male,guarantor,real estate,26,bank,own,1,unskilled,1,none,yes,good
221,no,12,all paid,education,1200,no_savings,employed,female,none,life insurance,23,bank,rent,1,skilled,1,yes,yes,good
222,unchecked,12,all paid,radio/tv,707,below_100,employed,male,none,real estate,30,bank,own,2,skilled,1,none,yes,good
223,unchecked,24,delayed,business,2978,no_savings,employed,male,none,real estate,32,none,own,2,skilled,2,yes,yes,good
224,unchecked,15,all paid,used car,4657,below_100,employed,male,none,car,30,none,own,1,skilled,1,yes,yes,good
225,unchecked,36,all paid,repairs,2613,below_100,employed,male,none,car,27,none,own,2,skilled,1,none,yes,good
226,no,48,all paid,radio/tv,10961,above_1000,employed,male,co applicant,no known property,27,bank,own,2,skilled,1,yes,yes,bad
227,no,12,all paid,furniture/equipment,7865,below_100,employed,male,none,no known property,53,none,for free,1,self_employed,1,yes,yes,bad
228,unchecked,9,all paid,radio/tv,1478,below_100,employed,male,none,car,22,none,own,1,skilled,1,none,yes,bad
229,no,24,all paid,furniture/equipment,3149,below_100,unemployed,male,none,no known property,22,bank,for free,1,skilled,1,none,yes,good
230,yes,36,all paid,radio/tv,4210,below_100,employed,male,none,car,26,none,own,1,skilled,1,none,yes,bad
231,unchecked,9,all paid,new car,2507,below_1000,employed,male,none,no known property,51,none,for free,1,unskilled,1,none,yes,good
232,unchecked,12,all paid,radio/tv,2141,below_500,employed,male,none,no known property,35,none,own,1,skilled,1,none,yes,good
233,no,18,all paid,radio/tv,866,below_100,employed,male,guarantor,real estate,25,none,own,1,unskilled,1,none,yes,good
234,unchecked,4,critical,radio/tv,1544,below_100,employed,male,none,real estate,42,none,own,3,unskilled,2,none,yes,good
235,no,24,all paid,radio/tv,1823,below_100,unemployed,male,none,car,30,stores,own,1,self_employed,2,none,yes,bad
236,no,6,all paid,new car,14555,no_savings,unemployed,male,none,life insurance,23,none,own,1,unemeployed,1,yes,yes,bad
237,no,21,all paid,business,2767,below_500,employed,male,none,car,61,bank,rent,2,unskilled,1,none,yes,bad
238,unchecked,12,critical,radio/tv,1291,below_100,employed,female,none,life insurance,35,none,own,2,skilled,1,none,yes,good
239,no,30,all paid,radio/tv,2522,below_100,employed,male,guarantor,life insurance,39,none,own,1,skilled,2,none,yes,good
240,no,24,all paid,new car,915,no_savings,employed,female,none,car,29,bank,own,1,skilled,1,none,yes,bad
241,unchecked,6,all paid,radio/tv,1595,below_100,employed,male,none,life insurance,51,none,own,1,skilled,2,none,yes,good
242,no,48,all paid,used car,4605,below_100,employed,male,none,no known property,24,none,for free,2,skilled,2,none,yes,bad
243,unchecked,12,critical,business,1185,below_100,employed,female,none,real estate,27,none,own,2,skilled,1,none,yes,good
